Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
KI RESIDENCES AT BROOKVALE,"2,755,000","1,474.67","1,868",05 Dec 2020,10 BROOKVALE DRIVE #09-20,New Sale,Strata,137,"20,109",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,623,000","1,474.67","1,779",05 Dec 2020,10 BROOKVALE DRIVE #02-20,New Sale,Strata,137,"19,146",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,050,000","1,108.69","1,849",05 Dec 2020,12 BROOKVALE DRIVE #08-22,New Sale,Strata,103,"19,903",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599978,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"3,667,000","2,077.45","1,765",05 Dec 2020,12 BROOKVALE DRIVE #12-22,New Sale,Strata,193,"19,000",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599978,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,059,000","1,108.69","1,857",05 Dec 2020,12 BROOKVALE DRIVE #09-22,New Sale,Strata,103,"19,990",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599978,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,670,000",979.52,"1,705",05 Dec 2020,12 BROOKVALE DRIVE #06-23,New Sale,Strata,91,"18,352",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599978,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,423,000",882.65,"1,612",05 Dec 2020,12 BROOKVALE DRIVE #12-24,New Sale,Strata,82,"17,354",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599978,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,310,000",753.48,"1,739",05 Dec 2020,12 BROOKVALE DRIVE #08-25,New Sale,Strata,70,"18,714",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599978,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,505,000",861.12,"1,748",05 Dec 2020,14 BROOKVALE DRIVE #07-30,New Sale,Strata,80,"18,813",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599979,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,449,000",861.12,"1,683",05 Dec 2020,14 BROOKVALE DRIVE #03-30,New Sale,Strata,80,"18,113",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599979,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,473,000",861.12,"1,711",05 Dec 2020,14 BROOKVALE DRIVE #06-30,New Sale,Strata,80,"18,413",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599979,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,216,000","1,173.28","1,889",05 Dec 2020,14 BROOKVALE DRIVE #10-31,New Sale,Strata,109,"20,330",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599979,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,225,000","1,173.28","1,896",05 Dec 2020,14 BROOKVALE DRIVE #11-31,New Sale,Strata,109,"20,413",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,HDB,599979,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,607,000",861.12,"1,866",05 Dec 2020,14 BROOKVALE DRIVE #08-32,New Sale,Strata,80,"20,088",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599979,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,567,000",861.12,"1,820",05 Dec 2020,14 BROOKVALE DRIVE #06-32,New Sale,Strata,80,"19,588",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599979,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,598,000",861.12,"1,856",05 Dec 2020,16 BROOKVALE DRIVE #09-33,New Sale,Strata,80,"19,975",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,646,000",861.12,"1,911",05 Dec 2020,16 BROOKVALE DRIVE #11-33,New Sale,Strata,80,"20,575",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,518,000",861.12,"1,763",05 Dec 2020,16 BROOKVALE DRIVE #03-33,New Sale,Strata,80,"18,975",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,550,000",861.12,"1,800",05 Dec 2020,16 BROOKVALE DRIVE #06-33,New Sale,Strata,80,"19,375",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,590,000",861.12,"1,846",05 Dec 2020,16 BROOKVALE DRIVE #08-33,New Sale,Strata,80,"19,875",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,542,000",861.12,"1,791",05 Dec 2020,16 BROOKVALE DRIVE #05-33,New Sale,Strata,80,"19,275",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,211,000","1,259.39","1,756",05 Dec 2020,16 BROOKVALE DRIVE #05-34,New Sale,Strata,117,"18,897",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,355,000","1,259.39","1,870",05 Dec 2020,16 BROOKVALE DRIVE #10-34,New Sale,Strata,117,"20,128",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,367,000","1,259.39","1,879",05 Dec 2020,16 BROOKVALE DRIVE #11-34,New Sale,Strata,117,"20,231",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,283,000","1,259.39","1,813",05 Dec 2020,16 BROOKVALE DRIVE #08-34,New Sale,Strata,117,"19,513",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,487,000","1,463.9","1,699",05 Dec 2020,16 BROOKVALE DRIVE #12-34,New Sale,Strata,136,"18,287",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,295,000","1,259.39","1,822",05 Dec 2020,16 BROOKVALE DRIVE #09-34,New Sale,Strata,117,"19,615",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,983,000","1,173.28","1,690",05 Dec 2020,16 BROOKVALE DRIVE #05-35,New Sale,Strata,109,"18,193",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,046,000","1,173.28","1,744",05 Dec 2020,16 BROOKVALE DRIVE #09-35,New Sale,Strata,109,"18,771",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,HDB,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,100,000","1,173.28","1,790",05 Dec 2020,16 BROOKVALE DRIVE #11-35,New Sale,Strata,109,"19,266",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599980,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,473,000",861.12,"1,711",05 Dec 2020,16 BROOKVALE DRIVE #06-36,New Sale,Strata,80,"18,413",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599980,21,59,West Region,Clementi
